namn,weekday,weeks_with_delivery,total_weeks,frequency,is_delivery_day,demand_sum,demand_ratio
ICA Supermarket Husby,Sunday,1,2,0.5,True,31,0.4025974025974026
ICA Supermarket Husby,Tuesday,1,2,0.5,True,24,0.3116883116883117
ICA Supermarket Husby,Thursday,1,2,0.5,True,22,0.2857142857142857
ICA Supermarket Vårberg c,Sunday,1,2,0.5,True,74,0.40437158469945356
ICA Supermarket Vårberg c,Tuesday,1,2,0.5,True,39,0.21311475409836064
ICA Supermarket Vårberg c,Thursday,1,2,0.5,True,70,0.3825136612021858
ICA Supermarket käppala,Sunday,1,2,0.5,True,224,0.4666666666666667
ICA Supermarket käppala,Tuesday,1,2,0.5,True,164,0.3416666666666667
ICA Supermarket käppala,Thursday,1,2,0.5,True,92,0.19166666666666668
ICA Supermarket solbo,Sunday,1,2,0.5,True,47,0.34814814814814815
ICA Supermarket solbo,Tuesday,1,2,0.5,True,49,0.362962962962963
ICA Supermarket solbo,Thursday,1,2,0.5,True,39,0.28888888888888886
ICA Supermarket västerhaninge,Monday,1,2,0.5,True,71,0.45806451612903226
ICA Supermarket västerhaninge,Wednesday,1,2,0.5,True,52,0.33548387096774196
ICA Supermarket västerhaninge,Friday,2,2,1.0,True,32,0.2064516129032258
ICA Söder,Sunday,1,2,0.5,True,46,0.35658914728682173
ICA Söder,Tuesday,1,2,0.5,True,42,0.32558139534883723
ICA Söder,Thursday,1,2,0.5,True,41,0.3178294573643411
ICA Södra Station,Sunday,1,2,0.5,True,101,0.3389261744966443
ICA Södra Station,Tuesday,1,2,0.5,True,95,0.3187919463087248
ICA Södra Station,Thursday,1,2,0.5,True,102,0.3422818791946309
ICA Torgkassen,Sunday,1,2,0.5,True,75,0.40540540540540543
ICA Torgkassen,Tuesday,1,2,0.5,True,58,0.31351351351351353
ICA Torgkassen,Thursday,1,2,0.5,True,52,0.2810810810810811
ICA Viksäng,Sunday,1,2,0.5,True,82,0.5324675324675324
ICA Viksäng,Tuesday,1,2,0.5,True,31,0.2012987012987013
ICA Viksäng,Thursday,1,2,0.5,True,41,0.2662337662337662
ICA Vretgränd,Sunday,1,2,0.5,True,135,0.35526315789473684
ICA Vretgränd,Tuesday,1,2,0.5,True,112,0.29473684210526313
ICA Vretgränd,Thursday,1,2,0.5,True,133,0.35
ICA Väst,Sunday,1,2,0.5,True,126,0.314214463840399
ICA Väst,Tuesday,1,2,0.5,True,116,0.2892768079800499
ICA Väst,Thursday,1,2,0.5,True,159,0.39650872817955113
